Country	ISO	Salary	Hours	PISA	GDP

Mexico	MX	34083	34	417	16721

Chile	CL	26610	29	436	22453

Slovakia	SV	15650	37	472	27289

Israel	IL	28715	31	474	32404

Sweden	SE	38852	42	482	44914

Iceland	IC	31145	35	484	43272

Portugal	PT	36663	45	488	26363

Italy	IT	36207	29	490	35284

Spain	ES	46907	38	490	32275

United States	US	60965	45	492	52615

Norway	NW	44538	38	496	65582

Denmark	DK	53431	40	498	43908

France	FR	36589	36	500	39950

Czech Republic	CZ	18273	39	500	28977

England	GB	47279	46	502	43745

Belgium	BE	48036	37	510	41973

Australia	AU	56315	43	512	45272

Netherlands	NL	66831	36	519	46878

Poland	PL	24921	37	521	24027

Canada	CA	66702	48	522	43680

Estonia	ET	13233	36	526	26638

Finland	FI	42877	32	529	40496

Japan	JP	48546	54	540	36787

South Korea	KR	51489	37	542	33829

